--CRC------GameID--

8A8FC183 SLKA-25133
C8844E0B SLES-54340 
C8ED55C7 SLES-50643 
C92321FF SLES-53076 
C97A17F8 SLES-53690 
C99317AD SLES-51435 
C9C145BF SLES-50215 
CA14550C SLES-53689 
CA37B42E SLES-53022 
CAC50E8E SLES-55492 
CB179BA2 SLES-50812 
CB4B48AF SLES-54306 
CBA0623D SLES-53008 
CBB4B383 SLES-54552 
CBC401C5 SLES-51653 
CBC9B452 SLES-52737 
CBDD9686 SLES-53494 
CBDF678C SLES-54915 
CBE8F793 SLES-55409 
CC03D5AD SLES-54443 
CC229675 SLES-52348 
CCBADADD SLES-50919 
CD3ED649 SLES-50650 
CD6AA180 SLES-52963 
CD787D68 SLES-52730 
CDD0C904 SLES-51433 
CDD6C078 SLES-52101 
CE2C1DBF SLES-55444 
CED08066 SLES-53695 
CF012100 SLES-50438 
CF4094BD SLES-53805 
CF47B729 SLES-52495 
CFD4748B SLES-50684 
CFE893B8 SLES-54568 
CFF1365D SLES-52402 
D0F72D6F SLES-55587 
D14A6CD6 SLES-51174 
D18EF711 SLES-52373 
D1D97A29 SLES-51283 
D2738AD3 SLES-51600 
D287A60F SLES-54339 
D354BAEF SLES-52111 
D4781770 SLES-50773 
D48A92E1 SLES-50230 
D4B7468B SLES-51966 
D4FB6049 SLES-50721 
D506150D SLES-50999 
D568B684 SLES-54555 
D65DF63F SLES-53914 
D682A8B8 SLES-51198 
D693D4CF SLES-54135 
D6A0A3EF SLES-54559 
D6A0D7A5 SLES-50480 
D6AAB8A1 SLES-52684 
D6DF457B SLES-53024 
D76BF975 SLES-54478 
D76C3A80 SLES-50575 
D78D3D1F SLES-52755 
D7A9DEF6 SLES-51168 
D7ACE82B SLES-50218 
D7AE31F4 SLES-53106 
D7ED797D SLES-82032 
D7F36BB4 SLES-53778 
D8DF7CB5 SLES-54803 
D91FCFD9 SLES-51056 
D92510F2 SLES-52867 
D974B1C5 SLES-52718 
D9A3B30E SLES-53340 
D9B48C4A SLES-50079 
D9D96321 SLES-53716 
DA9E1F73 SLES-51201 
DAB59034 SLES-50706 
DB2A922D SLES-55638 
DB3CA2EE SLES-54454 
DB49EA17 SLES-53141 
DB5AEC24 SLES-55384 
DBA1250E SLES-52043 
DBA95103 SLES-51202 
DC180A6B SLES-55147 
DC2805BA SLES-50572 
DC2A467E SLES-54356 
DC43F2B8 SLES-51252 
DC85FC8F SLES-53096 
DCD7104E SLES-53073 
DD0273E8 SLES-53659 
DD35AC9F SLES-54464 
DE14DDBF SLES-51458 
DE5AF9A8 SLES-51399 
DE9722A5 SLES-54490 
DED31A79 SLES-54804 
DEFA4763 SLES-50677 
DF20EC1B SLES-50210 
DF3C13B6 SLES-54188 
DF5C06BE SLES-50870 
DFD04E33 SLES-50751 
DFE7D8AA SLES-54727 
DFF3BB23 SLES-50974 
E01F57ED SLES-55135 
E0CD9A1D SLES-50429 
E0FBB4A5 SLES-51017 
E144C5B5 SLES-51885 
E16618B7 SLES-50777 
E1674F57 SLES-53579 
E1D7F6E5 SLES-52686 
E1F17139 SLES-54431 
E1FCDA9D SLES-54469 
E2FF6D3D SLES-53439 
E349C1D4 SLES-51069 
E3DCB6B9 SLES-50027 
E3F31090 SLES-50280 
E3F32982 SLES-53734 
E4BDADEE SLES-55148 
E54C58DD SLES-50995 
E54D237D SLES-52918 
E55A4E9A SLES-54897 
E59E10BF SLES-50036 
E626181E SLES-53718 
E6585C44 SLES-55328 
E658A1D9 SLES-50233 
E68BBB09 SLES-55656 
E6C0751A SLES-50034 
E764019B SLES-54717 
E7692E0B SLES-54903 
E788CEE1 SLES-54195 
E7C59CE9 SLES-50259 
E7FB0320 SLES-50325 
E81B67D8 SLES-54728 
E81BE74B SLES-50031 
E8499662 SLES-55383 
E857CCF8 SLES-54087 
E8761BDA SLES-52983 
E892412E SLES-51387 
E8A97250 SLES-51958 
E8F2F813 SLES-52446 
E90A5E60 SLES-50057 
E9454E84 SLES-50447 
E949C93F SLES-51350 
E98B1B2A SLES-52753 
E9C544F7 SLES-50486 
EA0CB4B8 SLES-53419 
EA123A2B SLES-54840 
EA50B9F5 SLES-52700 
EA6A9029 SLES-55622 
EA8DC584 SLES-55003 
EAEEC017 SLES-55152 
EB20EAA6 SLES-50544 
EB25115F SLES-51507 
EB94A7B4 SLES-50132 
EBD35EC9 SLES-54487 
EBDDF618 SLES-52920 
EBE1972D SLES-52942 
EC301155 SLES-52966 
EC3F279F SLES-51284 
EC432B24 SLES-53794 
EC56B5F6 SLES-51302 
ECE1FA11 SLES-52576 
ED1F4177 SLES-52798 
ED355E84 SLES-50686 
ED669333 SLES-54611 
EDADD39F SLES-51307 
EDCBBC68 SLES-54666 
EDD49A64 SLES-55030 
EE3180F4 SLES-51286 
EE3BCA71 SLES-51249 
EEE2F6A3 SLES-52510 
EEFA39E1 SLES-55236 
EF47C233 SLES-51820 
EF97EC8F SLES-53481 
F00CA82B SLES-53124 
F0206B09 SLES-52630 
F035261E SLES-50630 
F0C727B8 SLES-51996 
F0DD361F SLES-54153 
F1370E83 SLES-51203 
F173CF07 SLES-54788 
F1A69850 SLES-53036 
F2A2F496 SLES-55150 
F2AB368B SLES-52350 
F2CC17D2 SLES-52459 
F321BC38 SLES-53755 
F3290234 SLES-55043 
F34ECBDC SLES-50048 
F3A5EC6F SLES-82036 
F3AE68FC SLES-53474 
F40297F7 SLES-50050 
F418F2EC SLES-52036 
F4283A99 SLES-53343 
F48D1411 SLES-50711 
F491BA82 SLES-50192 
F59FF56B SLES-52188 
F6375797 SLES-51717 
F64A6AE5 SLES-55354 
F693320E SLES-54339 
F6F9A91D SLES-50975 
F73AC0A0 SLES-53459 
F743CD58 SLES-51620 
F74AEED0 SLES-55331 
F77639F1 SLES-50176 
F7780E06 SLES-53191 
F79AF536 SLES-51448 
F834AA3A SLES-52367 
F880239B SLES-50954 
F881CD68 SLES-53560 
F8E600FC SLES-53441 
F8F8CD47 SLES-52843 
F9254798 SLES-51712 
F937AEF0 SLES-55636 
F991B233 SLES-54305 
F9D01209 SLES-51602 
FA02D9DB SLES-53186 
FAC64195 SLES-51581 
FB258E4C SLES-52458 
FB26E854 SLES-55251 
FB3E72CD SLES-54508 
FB45FA8E SLES-51126 
FB680748 SLES-52439 
FB8BCB6D SLES-52760 
FBF2383B SLES-51548 
FC4AC115 SLES-54782 
FCF4C7D8 SLES-53140 
FD32030F SLES-51844 
FD927ADB SLES-52230 
FD9B2DA7 SLES-54467 
FDA10318 SLES-51967 
FDDB7579 SLES-50243 
FE09A7CC SLES-51839 
FE1720F1 SLES-51976 
FE191134 SLES-50310 
FE3E54B3 SLES-54665 
FE419424 SLES-52023 
FEA030CB SLES-50131 
FF920E90 SLES-50637 
FFA5A5B7 SLES-52403 
FFC911D0 SLES-50541 
FFCEBAC9 SLES-55237

0779FBDB SLUS-20963
101E8C43 SLUS-20003
104F08F4 SLUS-21410
14FE77F7 SLUS-21386
160076FE SLUS-20194
1CC39DBD SLUS-21245
1FCC0CFB SLUS-20113
274E5444 SLUS-20633
339A0B8C SLUS-20388
3FBF0EA6 SLUS-20485
536FEB77 SLUS-20904
64F9781E SLUS-20757
7656425F SLUS-20374
773A8DAB SLUS-20035
8A7CCD73 SLUS-20178
8AD8BA91 SLUS-20860
8AD9D4B1 SLUS-20982
8B524809 SLUS-21721
8B645E10 SLUS-21117
8BE3D7B2 SLUS-20347
8C9576A1 SLUS-21596
8CB179A6 SLUS-20148
8CF7CBC0 SLUS-20722
8D479556 SLUS-21582
8D5A0F43 SLUS-21671
8DB76084 SLUS-21484
8E7FF6F8 SLUS-20442
8E8E384B SLUS-20228
8EA2C9FB SLUS-20438
8EA70682 SLUS-21628
8EBA521C SLUS-21305
8EE3D234 SLUS-20931
8F6A1960 SLUS-20701
8F943CF3 SLUS-20649
8FCC33A2 SLUS-21715
8FCCB5D9 SLUS-21661
8FF059A1 SLUS-20455
901AAC09 SLUS-21075
901ECEFC SLUS-20738
903C7BC5 SLUS-20920
90A9963E SLUS-21454
90CEC039 SLUS-20361
90E66BC5 SLUS-20565
90E92030 SLUS-20683
910FDAA4 SLUS-21605
9206FE2A SLUS-20257
92624842 SLUS-20291
926307DE SLUS-21083
9315EF73 SLUS-21367
93352BA1 SLUS-21663
94A82AAA SLUS-21621
94A99538 SLUS-21955
94C56923 SLUS-20884
95062074 SLUS-20092
951555A0 SLUS-21397
9545216B SLUS-20249
954C0106 SLUS-20446
9551DBB1 SLUS-20856
95BB1901 SLUS-21104
960C7892 SLUS-21374
9679D44C SLUS-20732
96C20D6F SLUS-20812
970A82A2 SLUS-21621
976EA156 SLUS-21143
9798D85A SLUS-20875
97BBD2C1 SLUS-20929
97E76C44 SLUS-20894
9866FE54 SLUS-20767
98C7B76D SLUS-21010
99218C61 SLUS-20244
9A51B627 SLUS-20766
9A8DC7D3 SLUS-20024
9AC20A5B SLUS-21155
9AC33DB5 SLUS-21443
9AC63A2E SLUS-21007
9AC65D6A SLUS-21327
9AEECC9D SLUS-21176
9AEF9126 SLUS-21641
9B6E69EC SLUS-20921
9B85B093 SLUS-20787
9B87ACF8 SLUS-20274
9BC05316 SLUS-20354
9C71B59E SLUS-20688
9CA89C19 SLUS-21225
9CF6FA75 SLUS-20076
9D5AC274 SLUS-21427
9DC1CED8 SLUS-21574
9DDF4676 SLUS-21252
9E312BAF SLUS-20552
9F18CBC5 SLUS-21270
9F391882 SLUS-21344
9F53F96D SLUS-20734
9F70EE4F SLUS-20227
A00ED0D5 SLUS-21901
A05A58EB SLUS-20395
A06047D6 SLUS-20777
A06A7AFD SLUS-21750
A06BD445 SLUS-21754
A07F8571 SLUS-21195
A1030867 SLUS-20420
A1736B07 SLUS-20956
A1B095EC SLUS-20652
A1C2092C SLUS-20171
A275B0C0 SLUS-21354
A287DF74 SLUS-21799
A2B36980 SLUS-20590
A326D973 SLUS-21379
A32F7CD0 SLUS-20152
A33748AA SLUS-20344
A33AF77A SLUS-21129
A37C0344 SLUS-20335
A4315184 SLUS-21413
A542271D SLUS-21237
A54D5444 SLUS-20704
A5D29941 SLUS-21261
A6356EA6 SLUS-20621
A6B59CA2 SLUS-20691
A6BDA6BE SLUS-21838
A6D116DB SLUS-20223
A719D130 SLUS-21299
A7A37EB8 SLUS-21196
A7F6E4C8 SLUS-20268
A8083AE6 SLUS-20153
A80FBAAC SLUS-20883
A82F2554 SLUS-21206
A8C4C0A9 SLUS-21077
A8CE7DF2 SLUS-20603
A8D83239 SLUS-21731
A929EC81 SLUS-21751
A9461CB2 SLUS-20384
A99B8FE7 SLUS-20380
A99BACE1 SLUS-21093
A9A55B5E SLUS-20969
A9C82AB9 SLUS-20804
AA31B5BF SLUS-20915
AA4E5A35 SLUS-20212
AA525269 SLUS-21191
AABDB541 SLUS-21206
AD3294F9 SLUS-20286
AD955489 SLUS-20299
AD96FA2F SLUS-21088
ADFDCCD7 SLUS-21288
AE0148F7 SLUS-21471
AE1F3139 SLUS-21026
AE94FAF8 SLUS-20229
AEE8FDC4 SLUS-20958
AF7BEB14 SLUS-21159
AF854FA0 SLUS-20807
B005AE6B SLUS-21021
B03280F6 SLUS-20320
B049DD5E SLUS-20975
B04FC443 SLUS-21948
B0859096 SLUS-20675
B0AE1898 SLUS-20483
B0D6C2C2 SLUS-20084
B2A5B6F2 SLUS-20041
B304172F SLUS-21297
B32E018E SLUS-21394
B3723E7E SLUS-21690
B38CC628 SLUS-21325
B43000A1 SLUS-20955
B4A004F2 SLUS-20090
B59EF006 SLUS-20595
B6558133 SLUS-20994
B6580DA4 SLUS-20383
B67577F3 SLUS-21265
B67F4F9E SLUS-20671
B6BA0E59 SLUS-21896
B815F724 SLUS-21224
B82A0B91 SLUS-20400
B8BFF0B1 SLUS-20644
B8F7EC73 SLUS-21350
B95C635E SLUS-20970
B96EDBE5 SLUS-20846
B993C212 SLUS-20852
B99A75DE SLUS-21215
B9BCD679 SLUS-21186
B9BD4B3B SLUS-20058
B9EA7505 SLUS-20582
BA1727D6 SLUS-20865
BB3D833A SLUS-20312
BB70FFB9 SLUS-21199
BBBAAF63 SLUS-20892
BC910F04 SLUS-20575
BC94F047 SLUS-21860
BCD0B7CD SLUS-21291
BCE9B7BB SLUS-20598
BD17248E SLUS-21362
BD3DBCF9 SLUS-20938
BD80BB9C SLUS-20158
BEB62AA6 SLUS-21940
BEBF8793 SLUS-21050
BED8AB7C SLUS-21572
BF3542FE SLUS-20021
BFCC3E7E SLUS-20459
BFF1C010 SLUS-21626
C0498D24 SLUS-21356
C0D6A139 SLUS-21584
C1760287 SLUS-20189
C1B141D6 SLUS-21016
C20B1822 SLUS-21926
C2144770 SLUS-21189
C22D5152 SLUS-20617
C2C630E5 SLUS-20698
C339BD7D SLUS-21587
C33CA288 SLUS-21304
C3553F46 SLUS-20903
C3ACD5FA SLUS-20957
C3D28EB9 SLUS-21326
C3F67CAF SLUS-21567
C4ECF541 SLUS-20048
C539049D SLUS-20554
C5473413 SLUS-20576
C56B0941 SLUS-21857
C573F3A2 SLUS-20077
C5B98223 SLUS-20994
C5CE56CD SLUS-21125
C774219F SLUS-20618
C7A1EFF2 SLUS-21685
C7B9F4F7 SLUS-20015
C7DA3DD2 SLUS-20615
C801FB9F SLUS-20237
C818BEC2 SLUS-20578
C949BD58 SLUS-20924
C97EF0A4 SLUS-20998
C98BEF46 SLUS-21099
C9DEF513 SLUS-20616
C9E72987 SLUS-20208
C9F5FE15 SLUS-21635
C9F6EF9A SLUS-21150
C9F6F222 SLUS-20795
CA91718B SLUS-20309
CACC5766 SLUS-21384
CAF1432F SLUS-21469
CB307844 SLUS-20748
CB99CD12 SLUS-20811
CC4B9CDE SLUS-21462
CC6CBF20 SLUS-21045
CC955736 SLUS-20880
CD50F9CA SLUS-21335
CDA95971 SLUS-20712
CDE9832D SLUS-21778
CE1DF671 SLUS-20173
CE6A63BF SLUS-20656
CE7451A4 SLUS-20710
CEC42835 SLUS-20159
CF11CD83 SLUS-20878
CF56CD9C SLUS-20520
CF736A9D SLUS-20162
CFE85175 SLUS-21137
D0B9C45F SLUS-20302
D10945CE SLUS-20556
D158BC15 SLUS-20876
D1DFF756 SLUS-20553
D1E24531 SLUS-20080
D224D348 SLUS-21242
D233C793 SLUS-21098
D2790A77 SLUS-20718
D2CA77B8 SLUS-20506
D2E4255A SLUS-20376
D2F77DF2 SLUS-20138
D304FA88 SLUS-21450
D31904C2 SLUS-20948
D3659615 SLUS-21451
D371F4DF SLUS-21310
D3C57C9C SLUS-21014
D3C84C28 SLUS-21870
D3F40C6A SLUS-21819
D4DE7788 SLUS-20169
D5D560FF SLUS-20219
D600925B SLUS-20670
D6D296AD SLUS-20877
D6D704BB SLUS-20845
D7273511 SLUS-20974
D7A2F802 SLUS-20913
D813AF38 SLUS-20176
D850707E SLUS-21385
D88FCB86 SLUS-20867
D8BBFFF3 SLUS-21222
D926BF85 SLUS-21275
D9C58F05 SLUS-20541
D9D0E6DD SLUS-21575
DAA49CDC SLUS-20937
DAEC84E6 SLUS-21158
DB2DE310 SLUS-21815
DB42119C SLUS-21184
DB53D06D SLUS-21634
DBC0EE78 SLUS-21409
DC03D71F SLUS-20004
DC2C7C01 SLUS-21204
DDAC3815 SLUS-20533
DE1E4DEE SLUS-20820
DE2DF62D SLUS-21442
DE61647A SLUS-21782
DE62A872 SLUS-21544
DE67BB91 SLUS-21464
DE9125F8 SLUS-20806
DEDC3B71 SLUS-21782
DEEC725E SLUS-21043
DFA59850 SLUS-20391
DFC0888A SLUS-21163
E0127F2D SLUS-20901
E01F57EC SLUS-21785
E04356E2 SLUS-21566
E07A0594 SLUS-20049
E0A54502 SLUS-20311
E0A817F8 SLUS-21594
E0D4421A SLUS-20927
E138094A SLUS-20103
E1496246 SLUS-21175
E14ADB65 SLUS-20572
E164CB28 SLUS-21730
E1D6F85E SLUS-20934
E1D9B618 SLUS-20663
E243EA40 SLUS-21130
E246AA30 SLUS-21193
E24FC804 SLUS-21315
E2762CB7 SLUS-20231
E2984005 SLUS-20979
E2C71FD9 SLUS-21256
E2DFCE12 SLUS-20776
E3029E2B SLUS-21718
E319F8A2 SLUS-21453
E328D848 SLUS-21300
E36751DA SLUS-20874
E389B921 SLUS-21323
E3ADA82E SLUS-20056
E3C4037C SLUS-20343
E3DF71E1 SLUS-20992
E4278493 SLUS-21883
E498DD6E SLUS-20647
E4AB856D SLUS-20196
E520CABA SLUS-20682
E599BD40 SLUS-21939
E5F2DF38 SLUS-20209
E65F9D33 SLUS-21192
E69E7F58 SLUS-21165
E701DB54 SLUS-21333
E7273BFA SLUS-20412
E798B2D5 SLUS-20954
E7ED0846 SLUS-21393
E803FE7E SLUS-20028
E87D8667 SLUS-21844
E8C504C8 SLUS-20786
E8FCF8EC SLUS-20911
E90DC5C9 SLUS-21842
E90F7B89 SLUS-21017
E914BEF4 SLUS-20259
E91EAFEE SLUS-21396
E9348A11 SLUS-20368
E9720D3E SLUS-20803
E9FFA1F2 SLUS-21656
EA131B57 SLUS-20323
EA1BFC51 SLUS-21597
EA3B2269 SLUS-20555
EA6A9009 SLUS-21931
EA79D106 SLUS-21806
EA84CD37 SLUS-20524
EA8D4BDF SLUS-21765
EAB0862D SLUS-20239
EADDB48E SLUS-21157
EAE72CFE SLUS-21438
EAEDE6E8 SLUS-21796
EAF91930 SLUS-21538
EB39ABEC SLUS-21133
EB3AC800 SLUS-20888
EB653BE2 SLUS-20145
EB933C4B SLUS-20635
EBDB6E4B SLUS-20905
EC38550F SLUS-21579
EC3E8E86 SLUS-20324
EC474179 SLUS-20334
EC8EF2DE SLUS-21277
ECC849C5 SLUS-20706
ED4BF0D3 SLUS-20885
EE3737A4 SLUS-21727
EE628509 SLUS-20981
EE662389 SLUS-21748
EFCFAEBB SLUS-21543
EFE4448F SLUS-21907
F00293CA SLUS-20202
F0512849 SLUS-21563
F14DFE0A SLUS-20146
F191AFBC SLUS-20105
F1C7201E SLUS-21268
F1F4D83F SLUS-21011
F20A2A25 SLUS-20716
F22A8886 SLUS-20005
F22C1E3B SLUS-20753
F23579D9 SLUS-21430
F26B83E0 SLUS-20300
F2980E1A SLUS-21812
F2A25D7B SLUS-21151
F2EEC598 SLUS-20414
F3B0734E SLUS-20695
F3BDB2E6 SLUS-21041
F3FD313E SLUS-21448
F4807B40 SLUS-21248
F523DBC9 SLUS-20735
F5FE754D SLUS-21738
F61754B9 SLUS-21301
F6D977AE SLUS-21342
F73488D5 SLUS-21314
F77E2FB5 SLUS-20013
F803C7BC SLUS-20737
F95F37EE SLUS-21788
F989A710 SLUS-21852
F9DCF583 SLUS-20509
FA7E3081 SLUS-21008
FABD7602 SLUS-21442
FAF7FA20 SLUS-21124
FB236A46 SLUS-21846
FB307F03 SLUS-20132
FB539DD4 SLUS-21119
FB55E35C SLUS-20764
FBB5290C SLUS-20669
FBB6D448 SLUS-21761
FBC3BC36 SLUS-20072
FBF28175 SLUS-20073
FCA5EE17 SLUS-21403
FCC09959 SLUS-20696
FCD97245 SLUS-20677
FCEA8119 SLUS-20746
FD0936BF SLUS-20848
FD0C27EE SLUS-21879
FD12A397 SLUS-20545
FD7EEE96 SLUS-20680
FD9CD8FC SLUS-20064
FDB4D261 SLUS-20435
FDD12792 SLUS-21285
FE0030D6 SLUS-21091
FE0E9B39 SLUS-20234
FE44479E SLUS-21362
FE961D28 SLUS-21441
FF20AC4C SLUS-20977
FF2F701F SLUS-20959
FF46F4C4 SLUS-21688
FF55109B SLUS-21942
FF60D3ED SLUS-20458
